#Layer	start_x	start_y	end_x	end_y
120	0.01059528	0.005042973	0.00859381	0.00196098
121	0.008740823	0.002003751	0.01067915	0.004988509
122	0.01076302	0.004934045	0.008902797	0.002069561
123	0.00909429	0.002180827	0.01070016	0.004653655
124	0.009744837	0.002998974	0.009367484	0.002417902
125	6.554317E-05	0.01545172	0.0005770135	0.01623932
126	0.0007909398	0.01638513	1.962233E-05	0.0151974
127	1.406002E-05	0.01500523	0.0009626035	0.01646585
128	0.001116619	0.01651941	2.58708E-05	0.01483981
129	4.024219E-05	0.01467833	0.001257674	0.01655301
130	0.001388979	0.01657159	5.461359E-05	0.01451685
131	6.898403E-05	0.01435537	0.001512604	0.01657835
132	0.001632473	0.01657932	8.335543E-05	0.01419389
133	9.772682E-05	0.01403242	0.001751741	0.01657937
134	0.001870955	0.01657934	0.0001195049	0.01388234
135	0.0001430807	0.01373504	0.001990223	0.01657939
136	0.002109437	0.01657936	0.0001666555	0.01358773
137	0.000190177	0.01344034	0.002228651	0.01657932
138	0.002347921	0.01657937	0.0002137527	0.01329304
139	0.0002373281	0.01314573	0.002467134	0.01657934
140	0.002586403	0.01657939	0.000260849	0.01299835
141	0.0002844248	0.01285104	0.002705617	0.01657935
142	0.002824832	0.01657932	0.0003080001	0.01270374
143	0.0003391462	0.01256809	0.0029441	0.01657937
144	0.003063314	0.01657933	0.0003717079	0.01243462
145	0.0004043245	0.01230124	0.001870711	0.01455928
146	0.001870711	0.01455928	0.001941623	0.01466847
147	0.001941623	0.01466847	0.003182582	0.01657938
148	0.003301797	0.01657935	0.002286426	0.01501582
149	0.00169473	0.01410468	0.0004369407	0.01216786
150	0.0004695039	0.01203439	0.001663624	0.01387318
151	0.002485158	0.01513823	0.003421011	0.01657932
152	0.00354028	0.01657937	0.002654316	0.0152151
153	0.001663399	0.01368922	0.00050212	0.01190101
154	0.0005347366	0.01176763	0.001680494	0.01353194
155	0.002803104	0.01526061	0.003659494	0.01657933
156	0.003778762	0.01657938	0.00294089	0.01528917
157	0.00170957	0.0133931	0.0005673533	0.01163424
158	0.000615109	0.01152417	0.001738101	0.01325343
